start training greencrab
Start training for LSTM_PPO
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to /home/rstudio/logs/RecurrentPPO_6
---------------------------------
| rollout/           |          |
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3432        |
|    time_elapsed         | 42634       |
|    total_timesteps      | 439296      |
| train/                  |             |
|    approx_kl            | 0.014141902 |
|    clip_fraction        | 0.213       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.38        |
|    explained_variance   | -1.02       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00851    |
|    n_updates            | 34310       |
|    policy_gradient_loss | -0.00312    |
|    std                  | 0.355       |
|    value_loss           | 2.53e-08    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000529    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3433         |
|    time_elapsed         | 42643        |
|    total_timesteps      | 439424       |
| train/                  |              |
|    approx_kl            | 0.0031834613 |
|    clip_fraction        | 0.278        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.381        |
|    explained_variance   | -0.913       |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0122      |
|    n_updates            | 34320        |
|    policy_gradient_loss | 0.00114      |
|    std                  | 0.355        |
|    value_loss           | 1.32e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3434        |
|    time_elapsed         | 42653       |
|    total_timesteps      | 439552      |
| train/                  |             |
|    approx_kl            | 0.049014807 |
|    clip_fraction        | 0.292       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.379       |
|    explained_variance   | -0.867      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0124     |
|    n_updates            | 34330       |
|    policy_gradient_loss | -0.0082     |
|    std                  | 0.355       |
|    value_loss           | 1.31e-08    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3435        |
|    time_elapsed         | 42664       |
|    total_timesteps      | 439680      |
| train/                  |             |
|    approx_kl            | 0.032939438 |
|    clip_fraction        | 0.331       |
|    clip_range           | 0.2         |
|    entropy_loss         | 0.379       |
|    explained_variance   | -0.426      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00453    |
|    n_updates            | 34340       |
|    policy_gradient_loss | -0.00468    |
|    std                  | 0.355       |
|    value_loss           | 1.3e-08     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | -0.000529    |
| time/                   |              |
|    fps                  | 10           |
|    iterations           | 3436         |
|    time_elapsed         | 42674        |
|    total_timesteps      | 439808       |
| train/                  |              |
|    approx_kl            | 0.0075045573 |
|    clip_fraction        | 0.349        |
|    clip_range           | 0.2          |
|    entropy_loss         | 0.379        |
|    explained_variance   | -1.36        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0141      |
|    n_updates            | 34350        |
|    policy_gradient_loss | -0.0154      |
|    std                  | 0.355        |
|    value_loss           | 2.59e-08     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 101         |
|    ep_rew_mean          | -0.000529   |
| time/                   |             |
|    fps                  | 10          |
|    iterations           | 3437        |
